order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_applied
OI0001,ORD00001,PROD001,1,29.99,29.99,0.00
OI0002,ORD00001,PROD002,1,89.99,89.99,0.00
OI0003,ORD00002,PROD002,1,89.99,79.99,10.00
OI0004,ORD00003,PROD003,1,49.99,49.99,0.00
OI0005,ORD00004,PROD002,1,89.99,89.99,0.00
OI0006,ORD00004,PROD002,1,89.99,69.99,20.00
OI0007,ORD00005,PROD009,1,299.99,269.99,30.00
OI0008,ORD00006,PROD005,1,69.99,69.99,0.00
OI0009,ORD00007,PROD008,1,44.99,44.99,0.00
OI0010,ORD00008,PROD010,1,149.99,134.99,15.00
OI0011,ORD00009,PROD001,2,29.99,59.98,0.00
OI0012,ORD00009,PROD006,1,39.99,39.99,0.00
OI0013,ORD00009,PROD003,1,49.99,49.99,0.00
OI0014,ORD00009,PROD005,1,69.99,69.99,0.00
OI0015,ORD00010,PROD004,1,79.99,74.99,5.00
OI0016,ORD00011,PROD006,1,39.99,39.99,0.00
OI0017,ORD00012,PROD007,1,59.99,59.99,0.00

