product_id,product_name,category,subcategory,unit_price,cost_price,supplier_id,sku,is_active,created_at,updated_at
PROD001,Wireless Mouse,Electronics,Peripherals,29.99,12.50,SUP01,WM-2024-001,true,2024-01-01 00:00:00,2024-06-15 10:00:00
PROD002,Mechanical Keyboard,Electronics,Peripherals,89.99,45.00,SUP01,MK-2024-002,true,2024-01-01 00:00:00,2024-07-20 14:30:00
PROD003,USB-C Hub,Electronics,Accessories,49.99,22.00,SUP02,HB-2024-003,true,2024-02-15 00:00:00,2024-02-15 00:00:00
PROD004,Monitor Stand,Furniture,Desk Accessories,79.99,35.00,SUP03,MS-2024-004,true,2024-03-01 00:00:00,2024-08-10 09:15:00
PROD005,Webcam HD,Electronics,Peripherals,69.99,28.00,SUP01,WC-2024-005,true,2024-03-15 00:00:00,2024-03-15 00:00:00
PROD006,Desk Lamp LED,Furniture,Lighting,39.99,15.00,SUP03,DL-2024-006,true,2024-04-01 00:00:00,2024-09-05 11:45:00
PROD007,Laptop Stand,Furniture,Desk Accessories,59.99,25.00,SUP03,LS-2024-007,true,2024-04-15 00:00:00,2024-04-15 00:00:00
PROD008,Bluetooth Speaker,Electronics,Audio,44.99,18.00,SUP02,BS-2024-008,false,2024-05-01 00:00:00,2024-10-01 16:00:00
PROD009,Ergonomic Chair,Furniture,Seating,299.99,150.00,SUP04,EC-2024-009,true,2024-05-15 00:00:00,2024-05-15 00:00:00
PROD010,Noise Canceling Headphones,Electronics,Audio,149.99,65.00,SUP02,NH-2024-010,true,2024-06-01 00:00:00,2024-06-01 00:00:00

